,Device ID,Sync,Orientation_W,Orientation_X,Orientation_Y,Orientation_Z,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,EMG_8,RSSI,Roll,Pitch,Yaw,label
0,2507475260096.0,,-0.33124,0.10718,-0.16309,0.92114,0.05811,-0.38403,0.82959,1.03125,0.1875,-0.78125,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.38401,-0.11284,-2.42313,fist
1,2823398884368.0,,-0.33008,0.11768,-0.12482,0.92572,0.09473,-0.33984,0.85303,0.4375,0.3125,-0.125,-0.5,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.32038,-0.1467,-2.44026,fist
2,2669858496192.0,,-0.32275,0.1283,-0.16626,0.92072,0.1001,-0.41357,0.83203,0.4375,0.3125,-0.1875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.41251,-0.133,-2.44134,fist
3,2104218433872.0,,-0.32281,0.12305,-0.13702,0.92584,0.0791,-0.41406,0.83301,0.625,0.25,-0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.35847,-0.14184,-2.43681,fist
4,2015813015248.0,,-0.33301,0.10895,-0.23389,0.9082,0.02881,-0.49072,0.80908,1.4375,-0.75,-0.0625,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.515,-0.05444,-2.4308,fist
5,2249190094864.0,,-0.31842,0.11902,-0.16064,0.92505,0.09277,-0.43945,0.82959,0.5,-0.125,-0.4375,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.39358,-0.14502,-2.45245,fist
6,1938929172224.0,,-0.33502,0.10974,-0.18518,0.91675,0.01709,-0.4314,0.83008,0.5625,-1.0625,-0.25,-1.0,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.4283,-0.0719,-2.42474,fist
7,1817839485984.0,,-0.35065,0.08362,-0.18402,0.91278,0.01221,-0.41699,0.85303,0.1875,-0.5,0.1875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.39756,0.00965,-2.40323,fist
8,2280427156944.0,,-0.34344,0.09039,-0.1582,0.9176,0.05176,-0.40381,0.86816,-0.6875,-0.25,0.375,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.36293,-0.03141,-2.41779,fist
9,1758391112608.0,,-0.1665,0.09393,0.19794,-0.96271,-0.1001,-0.3667,0.86768,1.1875,-0.1875,0.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,0.0,-0.40967,0.12555,2.7806,left
10,2339020132128.0,,-0.18695,0.02112,0.17676,-0.96387,0.02246,-0.3252,0.89453,-0.125,0.5,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.35238,-0.0227,2.74827,left
11,1521362266960.0,,-0.16159,0.08371,0.18497,-0.96548,-0.10278,-0.34766,0.87695,0.4375,-1.3125,0.0625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.37167,0.11179,2.76327,left
12,1358926594368.0,,-0.16052,0.05127,0.1759,-0.96863,-0.08057,-0.34717,0.85791,-0.8125,1.5625,0.375,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.35262,0.03744,2.78489,left
13,2361628591648.0,,-0.14343,0.11359,0.19443,-0.96301,-0.15649,-0.38452,0.86279,-1.09375,-1.1875,-0.5,-1.0,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.39217,0.17107,2.79145,left
14,2201430464960.0,,-0.14099,0.09985,0.20148,-0.96222,-0.13843,-0.38916,0.85791,1.0625,-1.15625,-0.5,-1.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.4117,0.14968,2.79249,left
15,2611942479392.0,,-0.15338,0.0733,0.19684,-0.96313,-0.09814,-0.36743,0.87549,0.3125,-0.34375,0.4375,0.0,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.41293,0.07982,2.7815,left
16,1307342369120.0,,-0.13898,0.12238,0.19409,-0.96228,-0.16992,-0.37305,0.84814,1.0,-0.3125,-0.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.40466,0.19321,2.79005,left
17,1730393656800.0,,-0.13821,0.11163,0.14697,-0.97485,-0.15918,-0.29199,0.85596,0.625,-1.6875,0.4375,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.31953,0.17931,2.82598,left
